free_trial_signup_date,cpc,email,organic,social
2020-07-01,,,8.0,
2020-07-02,,,9.0,
2020-07-03,,,20.0,
2020-07-04,,,5.0,
2020-07-05,,,12.0,
2020-07-06,,,11.0,
2020-07-07,,,11.0,
2020-07-08,,,12.0,
2020-07-09,,,6.0,
2020-07-10,,,11.0,
2020-07-11,,,8.0,
2020-07-12,,,9.0,
2020-07-13,,,9.0,
2020-07-14,,,11.0,
2020-07-15,,,4.0,
2020-07-16,,,6.0,
2020-07-17,,,9.0,
2020-07-18,,,7.0,
2020-07-19,,,7.0,
2020-07-20,,,11.0,
2020-07-21,,,11.0,
2020-07-22,,,8.0,
2020-07-23,,,7.0,
2020-07-24,,,15.0,
2020-07-25,,,21.0,
2020-07-26,,,17.0,
2020-07-27,,,13.0,
2020-07-28,,,15.0,
2020-07-29,,,6.0,
2020-07-30,,,4.0,
2020-07-31,,,20.0,
2020-08-01,,,11.0,
2020-08-02,,,6.0,
2020-08-03,,,15.0,
2020-08-04,,,9.0,
2020-08-05,,,12.0,
2020-08-06,,,8.0,
2020-08-07,,,20.0,
2020-08-08,,,9.0,
2020-08-09,,,10.0,
2020-08-10,,,8.0,
2020-08-11,,,9.0,
2020-08-12,,,4.0,
2020-08-13,,,7.0,
2020-08-14,,,6.0,
2020-08-15,,,11.0,
2020-08-16,,,8.0,
2020-08-17,,,12.0,
2020-08-18,,,6.0,
2020-08-19,,,10.0,
2020-08-20,,,5.0,
2020-08-21,,,12.0,
2020-08-22,,,6.0,
2020-08-23,,,6.0,
2020-08-24,,,12.0,
2020-08-25,,,13.0,
2020-08-26,,,8.0,
2020-08-27,,,6.0,
2020-08-28,,,19.0,
2020-08-29,,,6.0,
2020-08-30,,,9.0,
2020-08-31,,,6.0,
2020-09-01,,,11.0,
2020-09-02,,,6.0,
2020-09-03,,,6.0,
2020-09-04,,,9.0,
2020-09-05,,,8.0,
2020-09-06,,,7.0,
2020-09-07,,,17.0,
2020-09-08,,,12.0,
2020-09-09,,,9.0,
2020-09-10,,,4.0,
2020-09-11,,,10.0,
2020-09-12,,,11.0,
2020-09-13,,,8.0,
2020-09-14,,,9.0,
2020-09-15,,,14.0,
2020-09-16,,,9.0,
2020-09-17,,,10.0,
2020-09-18,,,9.0,
2020-09-19,,,15.0,
2020-09-20,,,14.0,
2020-09-21,,,9.0,
2020-09-22,,,13.0,
2020-09-23,,,9.0,
2020-09-24,,,6.0,
2020-09-25,,,7.0,
2020-09-26,,,6.0,
2020-09-27,,,12.0,
2020-09-28,,,15.0,
2020-09-29,,,11.0,
2020-09-30,,,11.0,
2020-10-01,,,11.0,
2020-10-02,,,11.0,
2020-10-03,,,13.0,
2020-10-04,,,14.0,
2020-10-05,,,13.0,
2020-10-06,,2.0,12.0,
2020-10-07,,1.0,11.0,
2020-10-08,,,6.0,
2020-10-09,1.0,,14.0,
2020-10-10,,,8.0,
2020-10-11,,,7.0,
2020-10-12,,,13.0,
2020-10-13,,,13.0,
2020-10-14,,,9.0,
2020-10-15,,1.0,9.0,
2020-10-16,,,6.0,
2020-10-17,,1.0,16.0,
2020-10-18,,,17.0,
2020-10-19,,,12.0,
2020-10-20,1.0,,15.0,
2020-10-21,,,9.0,
2020-10-22,,,7.0,
2020-10-23,,,16.0,
2020-10-24,,,11.0,
2020-10-25,,1.0,9.0,
2020-10-26,6.0,3.0,2.0,
2020-10-27,5.0,1.0,3.0,
2020-10-28,4.0,2.0,2.0,
2020-10-29,1.0,,,
2020-10-30,7.0,2.0,2.0,
2020-10-31,4.0,1.0,,
2020-11-01,1.0,4.0,1.0,
2020-11-02,7.0,2.0,6.0,1.0
2020-11-03,2.0,1.0,3.0,
2020-11-04,1.0,1.0,,1.0
2020-11-05,1.0,2.0,5.0,
2020-11-06,8.0,2.0,6.0,
2020-11-07,2.0,2.0,3.0,
2020-11-08,4.0,1.0,2.0,1.0
2020-11-09,4.0,3.0,2.0,
2020-11-10,1.0,3.0,2.0,1.0
2020-11-11,4.0,2.0,3.0,
2020-11-12,1.0,2.0,,
2020-11-13,1.0,1.0,2.0,
2020-11-14,3.0,1.0,1.0,
2020-11-15,3.0,,2.0,
2020-11-16,3.0,2.0,1.0,
2020-11-17,5.0,5.0,5.0,
2020-11-18,3.0,1.0,3.0,
2020-11-19,1.0,5.0,4.0,
2020-11-20,5.0,4.0,3.0,1.0
2020-11-21,2.0,3.0,2.0,
2020-11-22,6.0,1.0,1.0,1.0
2020-11-23,6.0,3.0,2.0,1.0
2020-11-24,4.0,1.0,4.0,1.0
2020-11-25,4.0,5.0,5.0,
2020-11-26,2.0,3.0,2.0,
2020-11-27,9.0,,4.0,
2020-11-28,4.0,3.0,,
2020-11-29,3.0,2.0,,
2020-11-30,3.0,6.0,3.0,
2020-12-01,6.0,4.0,4.0,2.0
2020-12-02,3.0,2.0,1.0,
2020-12-03,6.0,,8.0,
2020-12-04,6.0,1.0,5.0,1.0
2020-12-05,4.0,1.0,,
2020-12-06,7.0,1.0,1.0,
2020-12-07,5.0,1.0,4.0,
2020-12-08,4.0,3.0,,1.0
2020-12-09,1.0,2.0,3.0,
2020-12-10,3.0,1.0,4.0,1.0
2020-12-11,5.0,,1.0,1.0
2020-12-12,6.0,3.0,,
2020-12-13,4.0,2.0,1.0,
2020-12-14,5.0,1.0,2.0,
2020-12-15,,3.0,,
2020-12-16,3.0,,1.0,
2020-12-17,2.0,1.0,1.0,
2020-12-18,8.0,2.0,1.0,
2020-12-19,,3.0,1.0,1.0
2020-12-20,5.0,4.0,1.0,
2020-12-21,4.0,2.0,3.0,
2020-12-22,5.0,,1.0,
2020-12-23,4.0,1.0,2.0,
2020-12-24,2.0,1.0,2.0,
2020-12-25,3.0,,2.0,1.0
2020-12-26,7.0,,1.0,1.0
2020-12-27,5.0,1.0,,
2020-12-28,15.0,13.0,9.0,1.0
2020-12-29,18.0,11.0,9.0,1.0
2020-12-30,14.0,8.0,3.0,1.0
2020-12-31,2.0,8.0,6.0,
2021-01-01,11.0,8.0,4.0,2.0
2021-01-02,19.0,12.0,2.0,2.0
2021-01-03,18.0,18.0,12.0,
2021-01-04,14.0,15.0,8.0,1.0
2021-01-05,13.0,10.0,8.0,2.0
2021-01-06,13.0,22.0,5.0,
2021-01-07,10.0,12.0,2.0,
2021-01-08,17.0,15.0,8.0,
2021-01-09,9.0,18.0,9.0,1.0
2021-01-10,15.0,19.0,5.0,
2021-01-11,13.0,17.0,5.0,
2021-01-12,13.0,16.0,4.0,1.0
2021-01-13,7.0,7.0,6.0,
2021-01-14,15.0,11.0,3.0,
2021-01-15,16.0,13.0,3.0,
2021-01-16,7.0,20.0,4.0,2.0
2021-01-17,18.0,14.0,8.0,
2021-01-18,11.0,8.0,5.0,1.0
2021-01-19,3.0,10.0,3.0,
2021-01-20,3.0,12.0,3.0,
2021-01-21,11.0,11.0,3.0,
2021-01-22,21.0,22.0,6.0,
2021-01-23,18.0,15.0,8.0,2.0
2021-01-24,14.0,18.0,9.0,
2021-01-25,16.0,13.0,5.0,
